photo_id	photo_keyword	ai_service_1_confidence	ai_service_2_confidence	suggested_by_user	hex	red	green	blue	color_keyword	coverage	score
Ty7NWf2y8lI	dog	99.8222732543945	99.5370507240295	f	32312A	50	49	42	darkslategray	0.0458666682243347	0.334866136312485
lSXQOeWUb9E	cat	99.766975402832	99.28472638130191	t	47221B	71	34	27	maroon	0.0940666645765305	0.227367892861366
R44W-4uIL1g	dog	99.7259368896484	90.5800223350525	t	121514	18	21	20	black	0.168971955776215	0.427490413188934
7R_V3L1SyHw	dog	99.7075729370117	99.5370507240295	t	C28D62	194	141	98	peru	0.017400000244379	0.145955994725227
wAP_IBPhn-4	dog	99.6954040527344	99.5370507240295	t	512D18	81	45	24	saddlebrown	0.0214000009000301	0.151920646429062
jkeRT6XDBGY	dog	99.691520690918	98.3325123786926	f	F8B668	248	182	104	sandybrown	0.00986666698008776	0.134028151631355
Hwmcjh9otlg	dog	99.6405563354492	99.5370507240295	f	B2BE6E	178	190	110	darkkhaki	0.0978666692972183	0.130046173930168
0ARZS-6Q5OA	dog	99.5914611816406	98.7620711326599	f	3D2D19	61	45	25	darkslategray	0.0557009354233742	0.478807955980301
vtV-nPoxYkg	dog	99.5861740112305	99.5370507240295	t	0F0F0A	15	15	10	black	0.150796458125114	0.572838485240936
_qLFof8-Loo	dog	99.4561996459961	99.5370507240295	t	A79B8A	167	155	138	rosybrown	0.0967999994754791	0.342734456062317
3nQhyFuwUkk	dog	99.4451217651367	94.9965417385101	t	111111	17	17	17	black	0.103466667234898	0.47859400510788
qGkVJ7Tx36s	dog	99.4045181274414	99.5370507240295	t	C6C2B7	198	194	183	silver	0.367333322763443	0.765906453132629
Un2l252-pWA	dog	99.4014511108398	89.2877876758575	f	313431	49	52	49	darkslategray	0.0315999984741211	0.334285587072372
Q4BHlxIuueM	dog	99.3724060058594	99.5370507240295	f	1F140F	31	20	15	black	0.0348666682839394	0.0964211449027061
znGRjrQMeP4	dog	99.3588256835938	95.2550828456879	t	131313	19	19	19	black	0.117533333599567	0.343082249164581
SmZlptlLhaY	cat	99.3435592651367	99.3757009506226	t	89725B	137	114	91	dimgray	0.0697333365678787	0.314106017351151
5py1uD3sxNA	cat	99.3335800170898	99.5985567569733	t	88735C	136	115	92	dimgray	0.0868000015616417	0.373393297195435
3LPGWASiSbM	cat	99.2748413085938	9927.956	t	151617	21	22	23	black	0.9486943	0.28792647
7q884uxYVtk	dog	99.2699203491211	98.7620711326599	t	AC987E	172	152	126	rosybrown	0.0285714287310839	0.284352272748947
taJT2K33OW8	dog	99.2588806152344	99.5370507240295	t	9F9F86	159	159	134	darkseagreen	0.0754666700959206	0.124858237802982
BNuB578HYto	dog	99.2472305297852	98.3325123786926	t	30252D	48	37	45	darkslategray	0.145523816347122	0.30860847234726
RApQxN_Js5Y	dog	99.2065505981445	97.6646780967712	t	926C51	146	108	81	sienna	0.00800000037997961	0.125285640358925
NzecKa3OWgM	dog	99.1645965576172	99.5370507240295	f	C7C6C3	199	198	195	silver	0.132912918925285	0.360899746417999
bf6rFq2wZ08	dog	99.1045761108398	9513.243	t	433022	67	48	34	darkslategray	0.11372913	0.18152
B8krQ458J44	cat	99.0843353271484	99.5985567569733	f	D5BD7C	213	189	124	burlywood	0.0522222220897675	0.33417159318924
mMj5ykKvwAk	dog	99.0733871459961	99.5370507240295	f	F3F2F3	243	242	243	whitesmoke	0.606333315372467	0.663787543773651
5LM2Tdg7tsM	dog	99.0224533081055	98.3325123786926	t	18100E	24	16	14	black	0.170466661453247	0.402202188968658
tfjKJ_gN39E	cat	99.013427734375	99.46648478508	t	654F3C	101	79	60	darkolivegreen	0.0636666640639305	0.137826025485992
hFGWIHLTYhs	cat	99.0057830810547	99.5985567569733	t	C9C0B8	201	192	184	silver	0.0686666667461395	0.196722328662872
dPziG30lYZ4	dog	98.9982604980469	93.2678878307343	t	0F1E2D	15	30	45	black	0.023933332413435	0.243472635746002
uE4Dy_EpoqI	dog	98.9911346435547	99.5370507240295	t	2B3139	43	49	57	darkslategray	0.0261333342641592	0.361740082502365
IDC5zZVNxmU	dog	98.9456634521484	91.8221652507782	t	313131	49	49	49	darkslategray	0.0744000002741814	0.310316115617752
O_UbPKaz6no	cat	98.9171676635742	98.76833558082579	t	A49B8A	164	155	138	rosybrown	0.0351063832640648	0.199309602379799
oCmfZpzj7HU	dog	98.879753112793	97.3785996437073	f	EEEDEE	238	237	238	whitesmoke	0.537199974060059	0.229952782392502
Pm2wSt4WwgI	cat	98.8095550537109	99.5985567569733	t	505757	80	87	87	darkslategray	0.169066667556763	0.169544622302055
3K0-oHEWBds	dog	98.7858276367188	99.5370507240295	t	28120E	40	18	14	black	0.0214159283787012	0.144738078117371
KxyAfJoWnkA	dog	98.755729675293	98.3325123786926	f	C5C5C5	197	197	197	silver	0.0900295004248619	0.355784386396408
5zBl2v4aYXM	cat	98.7405548095703	99.28472638130191	f	724E37	114	78	55	darkolivegreen	0.0119333332404494	0.125449866056442
