photo_id	photo_description	keyword	ai_service_1_confidence	ai_service_2_confidence	suggested_by_user
Ty7NWf2y8lI	Black and White Dog with brown eyes on a beige background	dog	99.8222732543945	99.5370507240295	f
lSXQOeWUb9E	I was carspotting at sunset in Wiesbaden when I found this cat sitting at the window.	cat	99.766975402832	99.28472638130191	t
R44W-4uIL1g	Our three-legged pup was able to make it 3 miles up a mountain on her first hike and we were super proud of her, she was just just happy to be outside.	dog	99.7259368896484	90.5800223350525	t
7R_V3L1SyHw	after a two-week roadtrip through Canada's east we came home again and where heartly welcomed by this cute little friend <3	dog	99.7075729370117	99.5370507240295	t
wAP_IBPhn-4	happy and cute King Charles Cavalier dog in a pink hoodie with a plush toy	dog	99.6954040527344	99.5370507240295	t
jkeRT6XDBGY	Golden retriever surrounded by autumnal blades of grass and sugar beets.	dog	99.691520690918	98.3325123786926	f
Hwmcjh9otlg	Angus the photogenic Husky x Lurcher at Clandeboye Estate during his pet photoshoot	dog	99.6405563354492	99.5370507240295	f
0ARZS-6Q5OA	Poppy the labrador during her pet photoshoot at Crawfordsburn beach, Northern Ireland.	dog	99.5914611816406	98.7620711326599	f
vtV-nPoxYkg	Beautiful dog I came across while walking trails in Banff Alberta	dog	99.5861740112305	99.5370507240295	t
_qLFof8-Loo	You can follow this cutie at doofus_the_golden in IG :-).	dog	99.4561996459961	99.5370507240295	t
3nQhyFuwUkk	Portrait of my dog called Marli. Shot with a Canon 5D Mark III and two Profoto B10 in my office.	dog	99.4451217651367	94.9965417385101	t
qGkVJ7Tx36s	My whippet, Fiddich, when she was a 10 week old puppy	dog	99.4045181274414	99.5370507240295	t
Un2l252-pWA	Black dog in black background with beautifull eyes and nice hair	dog	99.4014511108398	89.2877876758575	f
Q4BHlxIuueM	Home dog. Handsome and funny.  Ho Chi Minh city, Vietnam.	dog	99.3724060058594	99.5370507240295	f
znGRjrQMeP4	Portrait of my dog called Marli. Shot with a Canon 5D Mark III and two Profoto B10 in my office.	dog	99.3588256835938	95.2550828456879	t
SmZlptlLhaY	This is the face my cat makes when I should be petting him.	cat	99.3435592651367	99.3757009506226	t
5py1uD3sxNA	A wild cat I found in Italy that was very interested in my camera lens	cat	99.3335800170898	99.5985567569733	t
3LPGWASiSbM	Always tried to catch my cat eyes in a way that they were the main objective of the photo. This time i got it.	cat	99.2748413085938	9927.956	t
7q884uxYVtk	My dog, Mahoney, chilling on the sofa on a lazy Sunday afternoon.	dog	99.2699203491211	98.7620711326599	t
taJT2K33OW8	Sometimes, all you need is a warm ball of fur. No judgment, no stress, no deadlines or cares in the world. Oversized paws, the softest coat, and the truest puppy dog eyes you could ever want.	dog	99.2588806152344	99.5370507240295	t
BNuB578HYto	German Shorthair Pointer dog relaxing in the mid-day light	dog	99.2472305297852	98.3325123786926	t
RApQxN_Js5Y	Deuce and Ruby. Brother and sister. Friend and enemy.	dog	99.2065505981445	97.6646780967712	t
NzecKa3OWgM	Can you believe this adorable little fella was left in a foster home? He's now with me in his forever home. Ladies and gentleman, meet Boomer!	dog	99.1645965576172	99.5370507240295	f
bf6rFq2wZ08	My friend Louie relaxing in the fall in his backyard. Englewood Colorado	dog	99.1045761108398	9513.243	t
B8krQ458J44	A cat sitting in front of a victorian terrace house	cat	99.0843353271484	99.5985567569733	f
mMj5ykKvwAk	My pup Wyatt enjoying his first real snow - Jan 11th 2020. We've had him for three years but the last measurable snow in North Texas was in 2017!	dog	99.0733871459961	99.5370507240295	f
